Airport,Terminal,Date,Hour,All Passengers Average Wait Time,All Passengers Max Wait Time,Number of Passengers,Number of Flights,Number of Booths
ATL,Concourse E,12/14/2017,1700 - 1800,14,109,1471,10,16
ATL,Concourse E,12/14/2017,1800 - 1900,16,93,2283,19,17
ATL,Concourse E,12/14/2017,1900 - 2000,15,73,553,5,17
ATL,Concourse E,12/14/2017,2000 - 2100,12,29,301,1,14
ATL,Concourse F,12/14/2017,0800 - 0900,17,53,228,1,9
ATL,Concourse F,12/14/2017,1100 - 1200,6,19,66,1,6
ATL,Concourse F,12/14/2017,1200 - 1300,4,33,102,1,6
ATL,Concourse F,12/14/2017,1700 - 1800,26,92,149,1,11
ATL,Concourse E,12/15/2017,0500 - 0600,23,108,1408,6,14
ATL,Concourse E,12/15/2017,0600 - 0700,3,34,293,1,8
ATL,Concourse E,12/15/2017,0800 - 0900,12,52,506,2,9
ATL,Concourse E,12/15/2017,0900 - 1000,7,36,55,1,7
ATL,Concourse E,12/15/2017,1000 - 1100,28,80,264,3,9
ATL,Concourse E,12/15/2017,1100 - 1200,4,27,317,3,7
ATL,Concourse E,12/15/2017,1200 - 1300,12,73,809,5,11
ATL,Concourse E,12/15/2017,1300 - 1400,8,47,406,2,12
ATL,Concourse E,12/15/2017,1400 - 1500,10,33,423,3,13
ATL,Concourse E,12/15/2017,1500 - 1600,14,108,2505,12,15
ATL,Concourse E,12/15/2017,1600 - 1700,12,76,1061,8,9
ATL,Concourse E,12/15/2017,1700 - 1800,13,66,1127,8,15
ATL,Concourse E,12/15/2017,1800 - 1900,23,109,1949,16,17
ATL,Concourse E,12/15/2017,1900 - 2000,22,101,700,6,16
ATL,Concourse E,12/15/2017,2000 - 2100,17,72,542,3,14
ATL,Concourse F,12/15/2017,1500 - 1600,42,114,249,1,11
ATL,Concourse F,12/15/2017,1600 - 1700,0,0,6,1,1
ATL,Concourse F,12/15/2017,1700 - 1800,9,18,28,1,0
ATL,Concourse F,12/15/2017,1800 - 1900,27,74,14,1,3
